; eventmsg.txt

;REQUESTS,   _P=Pharaoh is requestor, _C=city itself is requestor
;Requests for troops
;*****Egyptian city under attack**********************
PHRASE_egyptian_city_attacked_title_P						"Arsailhet eo ur ger"
PHRASE_egyptian_city_attacked_title_C						"Arsailhet eo ur ger"
PHRASE_egyptian_city_attacked_initial_announcement_P		"[greeting] [player_name],[reason_phrase] divadezidi a arsailh. Urzhiañ a ra ar faraon deoc'h kas soudardad da [city_name], ur ger Egiptek, evit talañ ouzh an enebour. Kasit soudarded dindan [travel_time] miz."
PHRASE_egyptian_city_attacked_initial_announcement_C 	 	"[greeting] [player_name], [reason_phrase]  [city_name], ur ger Egiptek a zo taget hag ezhomm he deus da gaout ho skoazell. Kasit soudarded dindan [travel_time] miz."
PHRASE_egyptian_city_attacked_first_reminder_P				"[greeting] [player_name], armeadoù ar faraon santel a stourm gant an enebour e [city_name]. Kasit soudarded dindan c'hwec'h miz pe e rankoc'h gouzañv fulor ar faraon."
PHRASE_egyptian_city_attacked_first_reminder_C				"[greeting] [player_name], ha disoñjet ho peus [city_name] ? Kasit soudarded du-se dindan 6 miz pe e vo spontus an disoc'h."
PHRASE_egyptian_city_attacked_last_reminder_P				"[greeting] [player_name], dibasiantiñ a ra ar faraon abalamour d'an dale war ho soudarded. Kasit soudarded diouzhtu da [city_name] a-raok ma ne vefe re ziwezhat."
PHRASE_egyptian_city_attacked_last_reminder_C				"[greeting] [player_name], [city_name] a c'hallfe kodianañ a-benn nebeut. Kasit soudarded buan-buan evit sikour [city_name]."
PHRASE_egyptian_city_attacked_comply_reason_P_A 		 	"dre ma zo bet trec'h ho soudarded war enebourien ar faraon e [city_name],"
PHRASE_egyptian_city_attacked_comply_reason_P_B 		 	"trec'h eo bet ho soudarded war enebourien ar faraon e [city_name]. Siwazh,"
PHRASE_egyptian_city_attacked_comply_reason_P_C 		 	"daoust ma zo bet trec'h ho soudarded war enebourien ar faraon e [city_name],"
PHRASE_egyptian_city_attacked_comply_reason_C_A  		 	"dre ma zo bet trec'h ho soudarded war an enebourien e [city_name],"
PHRASE_egyptian_city_attacked_comply_reason_C_B  		 	"dre ma zo bet trec'h ho soudarded war an enebourien e [city_name]. Ouzhpenn-se,"
PHRASE_egyptian_city_attacked_comply_reason_C_C  		 	"daoust ma zo bet trec'h ho soudarded war an enebour e [city_name],"
PHRASE_egyptian_city_attacked_too_late_reason_P_A 			"abalamour d'ho lezouregezh dirak goulennoù soudarded armeadoù ar faraon e [city_name],"
PHRASE_egyptian_city_attacked_too_late_reason_P_B 			"armeadoù ar faraon o deus kollet an emgann e [city_name], erruet eo re ziwezhat ho soudarded. Diwar vremañ,"
