; eventmsg.txt

;REQUESTS,   _P=Pharaoh is requestor, _C=city itself is requestor
;Requests for troops
;*****Egyptian city under attack**********************
PHRASE_egyptian_city_attacked_title_P						"Kêr taget"
PHRASE_egyptian_city_attacked_title_C						"Kêr taget"
PHRASE_egyptian_city_attacked_initial_announcement_P		"[greeting] [player_name],[reason_phrase] barbared a dag. Ar faraon hollc'halloudek a ro deoc'h an urzh da gas soudarded da [city_name], ur ger Egiptian, evit talañ ouzh an enebour. Kasit soudarded dindan [travel_time] miz."
PHRASE_egyptian_city_attacked_initial_announcement_C 	 	"[greeting] [player_name], [reason_phrase]  [city_name] a zo arsailhet hag he deus ezhomm da gaout ho skoazell. Kasit soudarded dindan [travel_time] miz."
PHRASE_egyptian_city_attacked_first_reminder_P				"[greeting] [player_name], oc'h en em gannañ e [city_name] emañ armeadoù ar faraon santel. Kasit soudarded skoazell dindan c'hwec'h miz, mod-all e c'houzañvoc'h fulor ar faraon."
PHRASE_egyptian_city_attacked_first_reminder_C				"[greeting] [player_name], ha disoñjet ho peus [city_name] ? Kasit soudarded dindan 6 miz peotramant e vo spontus an disoc'h."
PHRASE_egyptian_city_attacked_last_reminder_P				"[greeting] [player_name], nec'het eo ar faraon gant dale ho soudarded. Kasit anezhe diouzhtu da [city_name] , a-raok ma ne vefe re ziwezhat."
PHRASE_egyptian_city_attacked_last_reminder_C				"[greeting] [player_name], [city_name] a roio he dazkor a-benn nebeud. Kasit diouzhtu soudarded evit saveteiñ [city_name]."
PHRASE_egyptian_city_attacked_comply_reason_P_A 		 	"dre m'eo bet trec'het enebourien ar faraon a-drugarez d'ho soudarded e [city_name],"
PHRASE_egyptian_city_attacked_comply_reason_P_B 		 	"ho soudarded a zo bet trec'h war enebourien ar faraon e [city_name]. Siwazh,"
PHRASE_egyptian_city_attacked_comply_reason_P_C 		 	"en desped m'eo bet trec'h ho soudarded war enebourien ar faraon e [city_name],"
PHRASE_egyptian_city_attacked_comply_reason_C_A  		 	"dre ma z'eo bet lakaet an enebourien da dec'hout dirak ho soudarded e [city_name],"
PHRASE_egyptian_city_attacked_comply_reason_C_B  		 	"dre ma z'eo bet lakaet an enebourien da dec'hout dirak ho soudarded e [city_name]. Koulskoude,"
PHRASE_egyptian_city_attacked_comply_reason_C_C  		 	"en desped ma z'eo bet lakaet an enebourien da dec'hout dirak ho soudarded e [city_name],"
PHRASE_egyptian_city_attacked_too_late_reason_P_A 			"abalamour d'ho tismegañs e-keñver goulennoù skoazell ar faraon e [city_name],"
PHRASE_egyptian_city_attacked_too_late_reason_P_B 			"armeadoù ar faraon o deus kollet an emgann e [city_name], ho soudarded a zo erruet re ziwezhat. Diwar-vremañ,"
